gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof
ENSG00000090621,ENSG00000070756,0.0,44,3,0.0003860532114579,0.9996140212974948,-3.362658698519004
ENSG00000092068,ENSG00000103257,0.0,102,108,0.03221789528349,0.9682955720528132,-1.856313711052361
ENSG00000092439,ENSG00000130529,0.0,253,1033,0.7643531875857695,0.465635012098638,0.0862470567068569
ENSG00000092439,ENSG00000142185,2.0,253,1395,1.0322097741356713,0.9136795625729148,-1.3637671099558122
ENSG00000092531,ENSG00000132639,0.0,27,2,0.0001579308592327,0.9998420816111888,-3.6019519283730705
ENSG00000100749,ENSG00000105053,0.0,161,161,0.0758097370772826,0.926992562096092,-1.4537527205483514
ENSG00000100842,ENSG00000050820,0.0,360,118,0.1242389425964648,0.8831687890255492,-1.1909774896854295
ENSG00000101493,ENSG00000171940,0.0,18,10,0.0005264361974426,0.99947370234578,-3.2760778798574317
ENSG00000102882,ENSG00000100030,0.0,115,8,0.0026906738980401,0.9973129427205316,-2.7837094866793484
ENSG00000103018,ENSG00000166347,0.0,43,11,0.0013833573410576,0.9986175990566448,-2.9927455122082427
ENSG00000103257,ENSG00000021488,0.0,108,247,0.0780178444610003,0.924947921199168,-1.4391636643557422
ENSG00000103257,ENSG00000130876,0.0,108,125,0.0394827148081985,0.9612865698697298,-1.7658151839859115
ENSG00000103489,ENSG00000015532,0.0,37,76,0.0082241032622706,0.9918096221578566,-2.400319757970204
ENSG00000104177,ENSG00000099783,0.0,48,3,0.0004211489579541,0.99957893971282,-3.338565884161658
ENSG00000105357,ENSG00000100345,0.0,237,26,0.0180216658257866,0.9821397532589948,-2.1000949044219395
ENSG00000105810,ENSG00000135446,0.0,2,18,0.0001052872394885,0.9998947183030183,-3.705993867117769
ENSG00000105866,ENSG00000185591,0.0,186,1,0.0005439840706907,0.9994561638618183,-3.2668085012544568
ENSG00000106089,ENSG00000103496,0.0,5,115,0.0016816711862751,0.9983197420304146,-2.932678582833152
ENSG00000106624,ENSG00000108582,1.0,359,82,0.0860957154462036,0.9964997780606248,-2.6968231446146604
ENSG00000106976,ENSG00000079805,0.0,60,19,0.0033340959171367,0.996671456008724,-2.71352831003571
ENSG00000108582,ENSG00000088882,0.0,82,303,0.0726657431203334,0.9299116074354228,-1.475133017962723
ENSG00000108654,ENSG00000100201,0.0,0,10,0.0,1.0,-inf
ENSG00000109332,ENSG00000072401,0.0,225,11,0.0072384977148364,0.9927876371127649,-2.4465088456644635
