,gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof,gene_pair
35065389,ENSG00000121892,ENSG00000083642,0.0,15,131,0.0057469284887489,0.9942695535160292,-2.528322783026595,"('ENSG00000083642', 'ENSG00000121892')"
36541525,ENSG00000123411,ENSG00000161405,0.0,27,11,0.0008686197257803,0.9991317574151284,-3.131951569937243,"('ENSG00000123411', 'ENSG00000161405')"
40082620,ENSG00000129473,ENSG00000171552,0.0,0,0,0.0,1.0,-inf,"('ENSG00000129473', 'ENSG00000171552')"
41235361,ENSG00000131236,ENSG00000112186,0.0,23,31,0.0020852722709811,0.997916900398776,-2.8652957646412665,"('ENSG00000112186', 'ENSG00000131236')"
42520833,ENSG00000132612,ENSG00000119541,0.0,1,91,0.0002661427442626,0.9997338926685758,-3.463995879553768,"('ENSG00000119541', 'ENSG00000132612')"
43857916,ENSG00000133884,ENSG00000011332,0.0,13,17,0.0006463466646379,0.9993538621723714,-3.2176896433336304,"('ENSG00000011332', 'ENSG00000133884')"
44524489,ENSG00000134255,ENSG00000111666,0.0,14,118,0.0048315144343069,0.9951801385568056,-2.5884918472943945,"('ENSG00000111666', 'ENSG00000134255')"
46529257,ENSG00000135678,ENSG00000108582,0.0,83,82,0.0199051375544147,0.9802916617605508,-2.0598103318117555,"('ENSG00000108582', 'ENSG00000135678')"
46648489,ENSG00000135766,ENSG00000129521,0.0,12,37,0.0012985426203585,0.9987023001212918,-3.01199137027676,"('ENSG00000129521', 'ENSG00000135766')"
46659105,ENSG00000135766,ENSG00000269858,0.0,12,16,0.0005615319439388,0.9994386256856173,-3.257811742254361,"('ENSG00000135766', 'ENSG00000269858')"
47261878,ENSG00000136238,ENSG00000128340,0.0,43,5,0.0006287987913898,0.99937139886114,-3.2255742341261358,"('ENSG00000128340', 'ENSG00000136238')"
47265304,ENSG00000136238,ENSG00000169750,0.0,43,55,0.0069167867052881,0.9931070792070316,-2.4627957718209923,"('ENSG00000136238', 'ENSG00000169750')"
47589588,ENSG00000136527,ENSG00000164548,0.0,2,82,0.000479641868781,0.9995204731409916,-3.3022709735549705,"('ENSG00000136527', 'ENSG00000164548')"
48830479,ENSG00000137267,ENSG00000188229,0.0,3,79,0.0006931409932994,0.9993070991734258,-3.1975920689073822,"('ENSG00000137267', 'ENSG00000188229')"
48898567,ENSG00000137285,ENSG00000188229,0.0,2,79,0.0004620939955329,0.999538012753454,-3.312707826561534,"('ENSG00000137285', 'ENSG00000188229')"
49520399,ENSG00000137713,ENSG00000105568,0.0,256,71,0.053158357359542,0.9482298414183394,-1.6279272282333876,"('ENSG00000105568', 'ENSG00000137713')"
51073513,ENSG00000138777,ENSG00000180817,0.0,73,465,0.0992770929010593,0.9054917679174356,-1.313494229307791,"('ENSG00000138777', 'ENSG00000180817')"
52379260,ENSG00000140379,ENSG00000171552,0.0,34,0,0.0,1.0,-inf,"('ENSG00000140379', 'ENSG00000171552')"
52623606,ENSG00000140650,ENSG00000100417,0.0,186,101,0.0549423911397643,0.946539675454706,-1.6121897774443077,"('ENSG00000100417', 'ENSG00000140650')"
54350281,ENSG00000143153,ENSG00000069849,0.0,0,7,0.0,1.0,-inf,"('ENSG00000069849', 'ENSG00000143153')"
55344677,ENSG00000143384,ENSG00000171552,0.0,28,0,0.0,1.0,-inf,"('ENSG00000143384', 'ENSG00000171552')"
55345495,ENSG00000143384,ENSG00000176720,0.0,28,171,0.0140032028519744,0.9860943859434532,-2.199938931011197,"('ENSG00000143384', 'ENSG00000176720')"
55916042,ENSG00000143545,ENSG00000084733,0.0,15,1,4.3869683120220624e-05,0.9999561312791404,-3.922218306092645,"('ENSG00000084733', 'ENSG00000143545')"
56166817,ENSG00000143614,ENSG00000167491,0.0,2,52,0.0003041631363001,0.999695883116617,-3.4279159377696686,"('ENSG00000143614', 'ENSG00000167491')"
58106649,ENSG00000145284,ENSG00000099194,0.0,15,5,0.0002193484156011,0.9997806756395038,-3.515668251991848,"('ENSG00000099194', 'ENSG00000145284')"
58669216,ENSG00000145632,ENSG00000166851,0.0,22,38,0.0024450036725669,0.9975579829143446,-2.814584460133156,"('ENSG00000145632', 'ENSG00000166851')"
