gene_1,gene_2,both_missense_lof,missense_1,lof_2,expected_both_missense_lof,p-value_missense_lof,z-score_missense_lof
ENSG00000115884,ENSG00000169439,0.0,9,23,0.0005372785621616,0.9994628657461192,-3.270317458769915
ENSG00000116039,ENSG00000147416,0.0,1558,17,0.0687457004705957,0.9335640547945864,-1.502872636802643
ENSG00000116251,ENSG00000163584,0.0,103,149,0.0398338845096365,0.9609490544180612,-1.7618071212184665
ENSG00000116731,ENSG00000147889,0.0,960,13,0.0323924466462672,0.968126569491383,-1.8539461742110468
ENSG00000116954,ENSG00000025039,0.0,211,58,0.0317643238827739,0.968734862849076,-1.862516837902672
ENSG00000116990,ENSG00000134323,0.0,5,5,6.488871523691365e-05,0.9999351133899902,-3.8268885790540152
ENSG00000116990,ENSG00000136997,0.0,5,5,6.488871523691365e-05,0.9999351133899902,-3.8268885790540152
ENSG00000117394,ENSG00000059804,0.0,134,108,0.0375627794763445,0.9631339507777206,-1.7882722265877762
ENSG00000117394,ENSG00000109667,0.0,134,273,0.0949503592318709,0.9094180775596736,-1.3371801340532412
ENSG00000117394,ENSG00000133460,0.0,134,195,0.0678216851656221,0.9344270809326652,-1.5095987593275162
ENSG00000117394,ENSG00000163581,0.0,134,117,0.0406930110993732,0.960123832070017,-1.7521248864926742
ENSG00000117394,ENSG00000173262,0.0,134,172,0.0598222043512154,0.941931990106579,-1.571200776493543
ENSG00000117394,ENSG00000181856,0.0,134,121,0.0420842251540527,0.9587890230184558,-1.736802973905848
ENSG00000117569,ENSG00000011304,0.0,40,252,0.0261631299835235,0.9741761593051363,-1.946058762252834
ENSG00000117625,ENSG00000089902,0.0,71,10,0.0018428395127283,0.998158857473422,-2.9041697055427798
ENSG00000118513,ENSG00000101057,0.0,93,70,0.0168970214476923,0.9832449325613568,-2.125917435230181
ENSG00000119121,ENSG00000092439,1.0,890,253,0.5844396803958336,0.8831953666973354,-1.1911128992933242
ENSG00000119314,ENSG00000011304,0.0,104,252,0.0680241379571613,0.934237922710092,-1.5081186820831842
ENSG00000119729,ENSG00000136238,0.0,137,43,0.0152903768584263,0.9848259274205116,-2.16551660509709
ENSG00000119787,ENSG00000184743,0.0,509,129,0.1704263172468394,0.8433052243901429,-1.0081352207728584
ENSG00000119787,ENSG00000198513,0.0,509,32,0.0422762957511539,0.958604885522576,-1.734721033188405
ENSG00000119812,ENSG00000171262,2.0,650,323,0.5449354305596007,0.9819748679459042,-2.0963600430482447
ENSG00000120054,ENSG00000108582,0.0,451,82,0.0959885786756616,0.9084743919901368,-1.331418893652497
ENSG00000121879,ENSG00000011405,0.0,384,336,0.3348880637891018,0.7154181630691159,-0.5692836305461894
ENSG00000121879,ENSG00000105851,0.0,384,263,0.2621296451682552,0.7694112667880739,-0.7369093685114182
ENSG00000121879,ENSG00000139144,2.0,384,1146,1.1422075032806864,0.8917719656354104,-1.2360067120677178
ENSG00000121892,ENSG00000083642,0.0,813,131,0.2764337135550805,0.758483894666265,-0.7014339986019663
ENSG00000121898,ENSG00000108582,1.0,1588,82,0.3379819577315978,0.954259644400408,-1.687638150131516
ENSG00000122025,ENSG00000065427,0.0,104,133,0.0359016283662795,0.9647351913923,-1.808494209574559
ENSG00000123411,ENSG00000161405,0.0,138,11,0.0039400427891853,0.9960677089952756,-2.65782885433632
ENSG00000123416,ENSG00000183785,0.0,11,90,0.0025695931233817,0.9974337054550884,-2.798592344229026
ENSG00000123416,ENSG00000198033,0.0,11,405,0.011563169055218,0.9885034274480526,-2.273548529946414
ENSG00000125618,ENSG00000075891,0.0,621,18,0.0290130423567288,0.9714037949891632,-1.9018374393890969
ENSG00000125618,ENSG00000125813,0.0,621,582,0.938088369534232,0.3913752856261018,0.2757363539055182
ENSG00000125618,ENSG00000196092,0.0,621,3,0.0048355070594548,0.9951761651834896,-2.588208029730285
ENSG00000125618,ENSG00000198807,0.0,621,12,0.0193420282378192,0.9808438285788184,-2.0714973393022422
ENSG00000125944,ENSG00000135316,0.0,43,57,0.006361689641827,0.9936585030631242,-2.492548693443648
ENSG00000127191,ENSG00000076604,0.0,379,27,0.0265602489207734,0.9737893723093624,-1.9396580959261125
ENSG00000127191,ENSG00000131323,0.0,379,4,0.0039348516919664,0.9960728796930104,-2.658272294355863
ENSG00000127191,ENSG00000175104,0.0,379,23,0.022625397228807,0.977628637584716,-2.007065164622166
